,ALBERTA_edmonto,TORONTO_tspace-,ALBERTA_educati,DUMMY_ORGANIZAT,ALBERTA_humanit,UVIC_anarchist_,ALBERTA_heritag,DUMMY_TECHNOLOG,ALBERTA_prairie,ALBERTA_ottawa_,UVIC_at_risk_we,UVIC_Research_C,TORONTO_panam,ALBERTA_fort_mc,UVIC_Government,DUMMY_SOCIALMED,UVIC_50thAnnive,UVIC_News-urls.,DUMMY_MEDIA,DUMMY_OVERALL,ALBERTA_western,ALBERTA_web_arc,UVIC_bc_teacher,UVIC_environmen,DUMMY_GOVERNMEN,WAHR_ymmfire-ur,WAHR_panamapape,UVIC_trans_web-,UVIC_Websites-u,UVIC_Calendar,UVIC_Digital_Sc,WAHR_exln42-all,ALBERTA_oil_san,ALBERTA_energy_,ALBERTA_health_,ALBERTA_hcf_onl,ALBERTA_canadia,UVIC_Faculty_As,ALBERTA_univers,ALBERTA_lfranco,TORONTO_snowden,ALBERTA_idle_no,ALBERTA_governm,ALBERTA_floods_
ab.ca,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,True,False,False,False,False,True,True,True,True,True,True,False,False,True,True,False,True,True,True
ac.uk,False,True,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,False,True,False,True,True,False,False,True,False,False,False,True,True,True,True,False,False
addthis.com,True,True,True,False,True,True,False,False,True,True,False,False,True,True,True,True,False,True,False,True,True,True,True,False,False,False,False,True,True,False,True,False,False,True,True,False,False,False,True,True,False,True,True,True
adobe.com,False,True,True,False,True,True,True,True,True,False,False,True,True,True,True,False,True,False,False,True,True,True,True,True,False,False,True,True,True,False,True,True,True,True,True,True,False,False,True,True,True,True,True,True
adsrvr.org,False,True,False,True,True,False,False,False,True,True,False,False,True,True,True,False,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True
akamaihd.net,False,True,False,False,True,False,False,True,True,False,False,False,True,True,False,False,False,False,False,True,True,True,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,True,True,True,True,True
alberta.ca,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,True,True,True,True,True,False,False,True,True,False,True,True,True
amazon.com,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,True,False,False,True,True,False,False,False,True,True,False,False,False,True,False,False,True,True,True,True,True,True
amazonaws.com,False,True,False,False,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,True,True,True,True
aol.com,False,True,False,False,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,True,True,True,True
apple.com,False,True,True,False,True,False,True,True,True,False,False,True,False,True,True,False,True,False,False,True,True,True,True,True,False,True,True,False,True,False,True,True,False,True,True,True,False,False,True,True,False,True,True,True
appspot.com,False,True,False,False,True,False,False,True,True,True,False,False,False,True,False,False,False,False,False,True,False,True,True,False,False,False,True,False,False,False,False,True,False,True,True,False,False,False,True,True,True,True,True,True
archive.org,False,True,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,True,True,False,False,False,False,False,True,False,True,True,True,False
bc.ca,False,True,True,False,False,True,True,False,True,False,False,True,False,False,True,False,False,False,False,True,False,True,True,True,True,True,False,False,True,False,True,True,True,True,True,True,False,False,True,True,False,True,True,True
bit.ly,False,True,False,False,True,True,False,True,True,False,False,False,True,True,True,False,False,False,False,True,False,True,True,False,False,True,True,True,True,False,False,True,True,True,True,False,False,False,True,True,False,True,True,False
bitworking.org,False,True,False,True,True,False,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,True,True,False,False,False,False,True,True,False,False,False,True,True,True,False,True,False,False,True,False,True,True,False
blogblog.com,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,True,False,False,False,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False,True,True,True,True
blogger.com,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,True,False,False,False,True,True,True,True,False,False,True,True,True,False,False,False,True,False,False,True,False,False,True,True,False,True,True,True,True
blogspot.ca,False,True,False,False,False,True,False,False,True,False,False,False,True,True,False,True,False,False,False,True,True,True,True,False,False,True,True,False,True,False,True,True,False,False,True,False,False,True,True,True,True,True,True,True
blogspot.com,False,True,False,False,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,True,True,True,False,True,False,True,True,False,True,False,True,True,True,True,True,True,False,True,True,True,True,True,True,True
bluekai.com,False,True,False,False,True,False,False,True,True,True,False,False,True,True,True,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,True,True,False,True,False
canada.com,False,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,False,False,True,True,False,True,True,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,True
cbc.ca,False,False,False,False,True,False,False,False,True,True,False,True,True,True,True,False,False,False,True,True,False,True,True,True,False,True,True,True,True,False,False,True,True,False,True,False,False,False,True,True,True,True,True,True
chartbeat.com,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,True,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,True,True,True,True,False,True
clicktale.com,False,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,True,True,True
cloudfront.net,False,True,True,False,True,False,False,True,True,True,False,False,True,True,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,True,True,True
cnn.com,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,True,False,False,True,False,False,True,True,True,False,False,False,True,False,False,True,False,False,False,True,True,True,True,True,False
co.uk,False,True,False,False,True,True,False,False,True,True,False,False,False,True,True,False,False,False,False,True,False,True,True,False,True,True,True,True,False,False,True,True,False,True,True,False,False,False,True,True,True,True,True,True
com.au,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,True,False,True,True,True,False,False,False,False,True,False,False,True,False,False,False,True,True,True,True,True,True
creativecommons.org,False,True,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,True,True,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,True,False,True,False,True
dailymotion.com,False,True,False,False,True,False,False,False,True,False,False,False,False,True,True,True,False,False,False,True,False,True,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,True,True
disqus.com,False,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,False,False,True,False,True,True,False,False,False,True,False,False,False,False,False,True,True,True,False,False,False,False,False,False,True,True,True
doubleclick.net,False,True,False,False,True,True,False,False,True,True,False,False,True,True,True,True,True,True,False,True,True,True,True,False,False,True,False,False,False,False,False,False,False,True,True,False,False,True,True,True,True,True,True,False
dublincore.org,False,True,True,True,True,True,False,False,True,False,False,True,True,True,True,False,True,False,False,True,True,True,True,False,False,False,False,True,True,False,True,False,True,True,True,False,True,True,True,True,False,True,True,True
edmontonjournal.com,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,True,False,False,False,True,True,False,False,False,False,True,True,True,True,False,False,False,True,True,False,True,True,True
facebook.com,False,True,True,False,False,False,False,False,True,False,False,False,True,True,True,True,True,True,False,True,True,True,True,True,False,False,True,True,True,False,True,True,False,True,True,False,False,True,True,True,True,True,True,False
flickr.com,False,True,False,False,True,True,False,False,True,False,False,True,True,True,False,True,True,False,False,True,True,True,True,True,False,True,True,False,True,False,True,True,True,True,True,False,False,False,True,True,True,True,True,True
gc.ca,False,True,True,False,True,False,True,False,True,False,False,True,True,True,True,False,False,False,False,True,False,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,False,True,True,False,True,True,True
globalnews.ca,False,False,False,False,False,False,False,False,True,True,False,False,True,True,True,False,False,False,True,True,False,True,True,True,False,True,True,True,False,False,False,True,False,False,True,False,False,False,True,True,False,True,True,True
gmpg.org,False,True,True,True,True,True,False,False,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,False,False,False,True,True,False,True,False,True,True,True,False,True,True,True,True,False,True,True,True
goo.gl,False,True,False,False,False,False,False,True,True,False,False,False,True,True,False,False,False,False,False,True,False,True,True,False,False,True,True,False,False,False,False,True,True,True,False,False,False,False,True,True,False,True,True,True
google-analytics.com,False,True,True,False,False,False,False,True,True,False,False,False,True,True,True,False,False,False,False,True,True,True,True,True,False,False,False,False,False,False,True,False,False,True,True,False,False,False,True,True,True,False,True,False
google.ca,False,False,False,False,False,True,False,True,True,False,False,True,True,True,True,False,False,False,False,True,False,True,True,False,False,True,True,True,True,False,True,True,True,False,True,False,False,True,True,True,False,True,True,True
google.com,False,True,True,False,True,True,False,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,True,True,True,True,True,True,True
googleapis.com,False,True,False,False,False,False,False,True,True,True,False,True,True,True,True,False,True,True,False,True,True,True,True,True,False,False,False,True,True,False,False,False,False,True,True,False,False,True,True,True,True,True,True,False
googlesyndication.com,False,False,False,False,True,False,False,True,True,True,False,False,True,True,False,False,False,True,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False
googletagmanager.com,False,True,False,False,False,False,False,True,True,False,False,False,True,True,True,False,False,False,False,True,False,True,True,False,False,False,False,False,True,False,True,False,True,True,True,False,False,False,True,True,True,True,True,True
googleusercontent.com,False,True,False,False,False,True,False,True,True,False,False,True,False,True,True,False,False,False,False,True,False,False,True,True,False,False,True,True,True,False,False,True,False,False,True,False,False,False,True,True,False,True,True,True
googlevideo.com,False,True,False,False,False,False,False,True,True,False,False,True,True,True,True,False,True,True,False,True,True,True,True,True,False,False,False,True,True,False,True,False,False,True,False,False,False,False,True,True,True,False,True,False
gov.uk,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,True,True,False,False,True,True,False,False,True,False,False,False,True,True,True,True,True,False
gravatar.com,False,True,False,False,True,True,False,False,True,False,False,True,True,True,True,True,False,False,False,True,True,True,True,True,False,False,False,True,True,False,True,False,True,False,True,True,False,False,True,True,False,True,True,True
gstatic.com,False,True,False,False,False,False,False,True,True,True,False,False,True,True,True,False,True,True,False,True,True,True,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,True,True,True,True,False
harvard.edu,False,True,False,True,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,True,False,True,False,True,True,True,False,True,False,False,False,True,True,True,True,True,False
huffingtonpost.com,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,True,True,False,False,True,True,True,False,False,False,True,False,True,False,False,False,False,True,True,True,True,True,True
instagram.com,False,True,False,False,False,False,False,False,True,False,False,False,True,True,False,True,False,False,False,True,False,True,True,False,False,True,True,False,True,False,False,True,False,False,False,False,False,False,True,True,False,True,True,False
issuu.com,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,True,False,True,True,False,False,False,False,True,True,False,False,False,False,True,True,True,False,False,True,False,True,True,True,True,True,False
livestream.com,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,True,True,True,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,True,True,True,True,True,True
macleans.ca,False,False,False,False,False,False,False,False,True,True,False,False,True,True,True,False,False,False,True,True,False,True,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,True,False,True,True,False
macromedia.com,False,True,False,False,True,True,True,True,True,False,False,False,True,True,False,False,False,False,False,True,False,True,True,False,False,False,False,True,True,False,True,False,True,False,True,True,False,False,True,True,False,True,True,False
mcgill.ca,False,True,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False,False,False,True,True,True,False,False,False,False,False,True,True,False,True,True,False
microsoft.com,False,True,False,False,False,False,True,True,True,False,False,False,True,True,True,False,False,False,False,True,False,True,True,True,False,False,False,False,True,False,False,True,False,False,True,True,False,False,True,True,False,True,True,True
msn.com,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,True,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,True,False
myspace.com,False,True,False,False,False,True,False,False,True,False,False,False,False,True,True,True,False,False,False,True,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,True,False,True,True,False
nationalpost.com,False,False,False,False,False,False,False,False,True,True,False,False,True,True,False,False,False,False,True,True,False,False,False,False,False,True,True,False,True,False,False,True,False,False,True,False,False,False,True,True,False,True,False,True
newrelic.com,False,True,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,True,True,True,False,False,True,True,False,True,True,True
nexac.com,False,True,False,False,True,False,False,True,False,True,False,False,True,True,True,False,False,True,False,True,False,True,False,True,False,False,False,True,True,False,False,False,False,False,True,False,False,False,True,True,True,False,True,False
nytimes.com,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,True,True,False,False,True,True,True,False,False,True,True,False,False,True,False,False,False,True,True,True,True,True,True
on.ca,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,True,False,False,False,False,True,True,False,False,True,True,False,False,True,True,False,True,True,True
org.uk,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,True,True,True,False,True,True,False,False,True,False,False,False,True,True,True,True,True,False
ottawacitizen.com,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,True,True,False,True,False,False,False,True,True,False,False,False,False,True,False,True,True,False,True,False,False,True,False,True,True,True
pinterest.com,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,True,False,False,True,False,True,True,False,False,True,True,False,False,False,True,True,False,False,False,False,False,False,True,True,True,True,True,True
purl.org,False,True,True,True,True,True,False,False,True,False,False,True,True,True,True,False,True,False,False,True,True,True,True,False,False,False,False,True,True,False,True,False,True,True,True,False,True,True,True,True,False,True,True,True
qc.ca,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,True,True,False,False,False,True,True,False,False,True,False,False,False,True,True,False,True,True,False
resource.org,False,True,False,True,True,False,False,False,True,False,False,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,False,True,False,True,True,True,False,True,False,True,True,False,True,True,False
schema.org,False,True,True,True,True,False,False,False,True,True,False,True,True,True,True,False,False,True,False,True,True,True,True,False,False,False,False,True,True,False,False,False,False,True,True,False,False,False,True,True,True,True,True,False
sfu.ca,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,True,True,False,False,False,False,False,True,True,False,True,True,True
sharethis.com,False,True,False,False,True,False,False,False,True,False,False,False,True,True,True,True,False,False,False,True,False,False,True,True,False,False,False,True,True,False,False,False,False,False,True,False,False,False,True,True,True,True,True,False
slideshare.net,False,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,True,True,False,True,False,False,False,True,True,False,True,False,True,True,False,True,True,False,False,False,True,True,False,True,True,False
soundcloud.com,False,True,False,False,True,True,False,False,True,True,False,True,True,True,False,True,False,True,False,True,True,True,True,False,False,True,True,True,True,False,True,True,True,True,False,False,False,False,True,True,True,True,True,True
squarespace.com,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,True,False,False,False,True,True,True,False,False,False,True,True,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False
storify.com,False,True,False,False,False,False,False,False,True,True,False,True,True,True,False,True,False,True,False,True,False,True,True,False,False,True,True,True,True,False,False,True,False,False,True,False,False,False,True,True,True,True,True,True
surveymonkey.com,False,True,True,False,False,False,False,True,True,False,False,False,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,True,True
theglobeandmail.com,False,True,False,False,False,False,False,False,True,True,False,True,True,True,False,False,False,False,True,True,False,True,True,True,False,True,True,False,True,False,False,True,True,False,True,False,True,True,True,True,True,True,True,True
theguardian.com,False,True,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,True,True,False,True,True,False,False,True,True,False,False,False,True,True,False,False,False,False,False,False,False,True,True,True,True,True
thestar.com,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,True,True,False,True,True,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,True,True,False,True,False,True
tumblr.com,False,True,False,False,True,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,True,True,True,False,False,True,True,False,True,False,True,True,False,False,True,False,False,False,True,True,True,True,True,True
twimg.com,False,False,False,False,False,False,False,False,True,False,False,False,True,True,True,True,False,False,False,True,True,True,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,True,True
twitter.com,False,True,False,False,True,True,False,False,True,True,False,True,True,True,True,True,True,False,False,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,False,False,True,True,True,True,True,True,True
ualberta.ca,False,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,True,True,False,False,True,False,True,True,True,False,True,False,False,False,True,True,False,True,True,True
ubc.ca,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,True,False,True,True,True,False,False,True,False,True,True,True,True,True,False,False,False,True,True,False,True,True,False
ucalgary.ca,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,True,False,False,False,True,True,True,True,True,False,False,False,True,True,False,True,True,True
usatoday.com,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,True,True,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,True,True,True,True,False,False
uvic.ca,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,True,True,True,True,True,False,False,True,False,False,True,False,False,False,True,True,False
vancouversun.com,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,True,False,True,True,True,False,True,True,False,False,False,False,True,False,False,True,False,False,False,True,True,False,True,True,True
vimeo.com,False,True,False,False,True,True,False,False,True,False,False,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,False,True,False,True,True,True,True,True,True
vine.co,False,True,False,False,False,False,False,False,True,False,False,False,True,True,False,True,False,False,False,True,True,True,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,False,True
w.org,False,True,True,False,False,False,False,False,True,False,False,True,True,True,True,True,False,False,False,True,True,True,False,True,False,False,False,True,True,False,False,False,False,True,True,False,False,False,True,True,True,False,True,False
w3.org,False,True,True,True,False,True,False,False,True,True,False,True,True,True,True,False,False,False,False,True,True,True,True,False,False,False,False,True,True,False,True,False,True,True,True,False,True,False,True,True,True,True,True,True
wellformedweb.org,False,True,False,True,True,False,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,True,True,False,False,False,False,True,True,False,False,False,True,True,True,False,True,False,True,True,False,True,True,False
wikimedia.org,False,True,False,False,True,False,False,False,True,False,False,False,True,True,False,True,False,False,False,True,False,True,True,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,True,False,True,False,True
wikipedia.org,False,True,False,False,False,False,False,False,True,False,False,True,True,True,False,True,False,False,False,True,False,True,True,True,False,True,True,False,False,False,True,True,True,False,True,False,False,False,True,True,True,True,True,True
wordpress.com,False,True,True,False,True,True,False,False,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True,True,False,True,True,True,True,False,True,True,True,False,True,False,False,True,True,True,True,True,True,True
wordpress.org,False,True,True,False,True,True,False,False,True,False,False,True,True,True,True,True,False,False,False,True,True,True,True,True,False,False,False,True,True,False,False,False,False,True,True,False,True,False,True,True,True,True,True,False
wp.com,False,True,True,False,True,True,False,False,True,True,True,False,True,True,True,True,False,True,False,True,True,True,True,True,False,False,False,True,True,False,False,True,False,False,False,False,False,False,True,True,False,True,True,True
wp.me,False,True,False,False,True,True,False,False,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True,True,False,False,True,True,True,False,True,True,False,False,False,False,False,False,True,True,False,True,True,True
yahoo.com,False,True,True,False,False,True,False,True,True,True,False,False,False,True,True,False,True,False,False,True,False,True,True,False,False,True,True,True,False,False,True,True,False,False,True,False,False,False,True,True,True,True,True,True
yimg.com,False,True,False,False,False,False,False,True,True,True,False,False,False,True,False,False,True,True,False,True,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,True
youtu.be,False,True,False,False,False,True,False,False,True,False,False,True,True,False,True,True,True,False,False,True,False,True,True,True,False,False,False,True,True,False,False,False,False,True,True,False,False,False,True,True,True,True,True,False
youtube-nocookie.com,False,True,False,False,True,True,False,False,True,False,False,True,True,True,True,True,True,False,False,True,True,True,True,True,False,False,False,False,True,False,False,True,False,True,True,False,False,False,True,True,True,True,True,True
youtube.com,False,True,True,False,True,True,False,False,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True
ytimg.com,False,True,False,False,False,False,False,False,True,False,False,True,True,True,False,True,True,False,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,True,True,True,True,True
